oblast_or_country;pcode;gid_1;# total population ;# female population ;# male population ;# female younger population (0 - 14 years);# male younger population (0 - 14 years);# total younger population (0 - 14 years);# female older population (60 years and up);# male older population (60 years and up);# total older population (60 years and up);# people displaced;# outgoing refugees since February 2022;# registered IDPs;# people moving back;# people exposed;# people affected;# people in need ;# people in level 1 humanitarian condition;# people in level 2 humanitarian condition;# people in level 3 humanitarian condition;# people in level 4 humanitarian condition;# people in level 5 humanitarian condition;# km² landmass affected;# km² controlled by Ukrainian authorities/forces;# km² controlled by Russian forces;# km² unconfirmed control;# battles;# explosions/remote violence;# violence against civilians;# fatalities;# civilian fatalities;# civilian injuries;# total infrastructure damage;# USD cost of damage;# total access events;# PIN food security and livelihoods;# PIN shelter and NFIs;# PIN CCCM;# PIN WASH;# PIN health;# PIN protection;# PIN child protection;# PIN gender-based violence;# PIN education;# PIN mine action;# PIN cash assistance;# USD GDP per capita;poverty rate;% inflation rate ;# unemployed people;Consumer price index;% variation in raw food prices;% variation in administered prices;% variation in fuel prices;# USD cost of reconstruction and recovery;# EUR currency value;# USD currency value;# USD in minimum wage;# USD in minimum pension;# USD in living wage;period
Vinnytska;UA05;UKR.24_1;1400000;805537;696893;110508;117742;228250;238346;134465;372811;;;143633.0;58000.0;1400000;380010.0;322290.0;978424.0;57720.06595;366006.0;0;0;26491;26491;0;0;0;0;0;0;24.0;204.0;0;;1;;;;;;;;;;;;;;;5538.0;;;;;;;;;;;Apr2025
Volynska;UA07;UKR.25_1;883000;537725;480903;95205;101245;196450;129037;73972;203009;;;43107.0;49000.0;883000;171218.0;128029.0;715723.0;43188.90693;137417.0;0;0;20149;20149;0;0;0;0;0;0;1.0;1.0;0;;6;;;;;;;;;;;;;;;2512.0;;;;;;;;;;;Apr2025
Zakarpatska;UA21;UKR.23_1;922000;644559;597084;117513;124691;242204;141186;88706;229892;;;124651.0;12000.0;922000;352287.0;299400.0;606219.0;52887.09475;286842.0;0;0;12758;12758;0;0;0;0;0;0;0.0;0.0;0;;4;;;;;;;;;;;;;;;1411.0;;;;;;;;;;;Apr2025
Zaporizka;UA23;UKR.26_1;1100000;889959;747714;112990;119983;232973;277337;147331;424668;;;158595.0;;1100000;1013822.0;1013822.0;47420.0;0.0;0.0;820282;193217;27180;6749;20211;220;92;203;0;118;363.0;1010.0;17;;29;;;;;;;;;;;;;;;2152.0;;;;;;;;;;;Apr2025
Zhytomyrska;UA18;UKR.27_1;1100000;629467;550334;92406;98146;190552;179745;98703;278448;;;56627.0;106000.0;1100000;237916.0;226884.0;751593.0;11031.68592;244266.0;0;0;29839;29839;0;0;0;5;0;1;31.0;48.0;6;;3;;;;;;;;;;;;;;;5143.0;;;;;;;;;;;Apr2025
Ukraine;;;37700484;23249472;20070682;3163786;3364378;6528164;6849670;3868794;10718464;13513670.0;5619670.0;3287567.0;4137000.0;37700484;16260529.0;12708866.0;21439955.0;3551662.613;7874000.0;3556000;1270000;599896;490548;107654;1694;2265;3800;6;6939;13134.0;31867.0;904;170000000000.0;371;5000000.0;6900000.0;149000.0;8500000.0;9200000.0;9500000.0;3500000.0;2400000.0;1600000.0;5400000.0;1400000.0;5069.703125;0.234;0.151;99707.0;506.7;0.222;0.195;0.037;524000000000.0;468026.0;415285.0;190.3424;56.1748;72.0446;May2025
Autonomous Republic of Crimea;UA01;UKR.4_1;1929001;1044581;884420;165608;175331;340939;302930;166038;468968;;;;;1929001;;;;;;0;0;25558;0;25558;0;0;4;1;3;;;0;;13;;;;;;;;;;;;;;;;;;;;;;;;;;May2025
Cherkaska;UA71;UKR.1_1;1200000;624475;532640;75552;81536;157088;196700;110769;307469;;;120825.0;44000.0;1200000;381757.0;277143.0;978031.0;104613.9121;160818.0;0;0;20940;20940;0;0;0;9;0;0;1.0;6.0;18;;3;;;;;;;;;;;;;;;3666.0;;;;;;;;;;;May2025
Chernihivska;UA74;UKR.2_1;897000;518447;432326;61356;64084;125440;174896;90800;265696;;;58332.0;193000.0;897000;513168.0;361071.0;466278.0;152097.0;386166.0;0;0;31895;31895;0;0;2;390;0;1;489.0;735.0;28;;3;;;;;;;;;;;;;;;4921.0;;;;;;;;;;;May2025
Chernivetska;UA73;UKR.3_1;728000;468777;418615;73482;78391;151873;116988;69688;186676;;;74883.0;14000.0;728000;149254.0;127824.0;524336.0;21430.07347;173752.0;0;0;8095;8095;0;0;0;1;0;0;0.0;0.0;1;;2;;;;;;;;;;;;;;;1770.0;;;;;;;;;;;May2025
